"the 1964 us presidential election","ut",219628,4,180682,0,0,0
"the 1964 us presidential election","vt",108127,3,54942,0,0,0
"the 1964 us presidential election","va",558038,12,481334,0,0,0
"the 1964 us presidential election","wa",779881,9,470366,0,0,0
"the 1964 us presidential election","wv",538087,7,253953,0,0,0
"the 1964 us presidential election","wi",1050424,12,638495,0,0,0
"the 1964 us presidential election","wy",80718,3,61998,0,0,0
"the 1964 us presidential election","us",43127041,486,27175754,52,0,0

"the 1968 us presidential election","al",146923,0,196579,0,691425,10
"the 1968 us presidential election","ak",37600,3,35411,0,10024,0
"the 1968 us presidential election","az",266721,5,170514,0,46573,0
"the 1968 us presidential election","ar",189062,0,184901,0,235627,6
"the 1968 us presidential election","ca",3467664,40,3244318,0,487270,0
"the 1968 us presidential election","co",409345,6,335174,0,60813,0
"the 1968 us presidential election","ct",556721,0,621561,8,76650,0
"the 1968 us presidential election","de",96714,3,89194,0,28459,0
"the 1968 us presidential election","dc",31012,0,139566,3,0,0
"the 1968 us presidential election","fl",886804,14,676794,0,624207,0
"the 1968 us presidential election","ga",380111,0,334440,0,535550,12
"the 1968 us presidential election","hi",91425,0,141324,4,3469,0
"the 1968 us presidential election","id",165369,4,89273,0,36541,0
"the 1968 us presidential election","il",2174774,26,2039814,0,390958,0
"the 1968 us presidential election","in",1067885,13,806659,0,243108,0
"the 1968 us presidential election","ia",619106,9,476699,0,66422,0
"the 1968 us presidential election","ks",478674,7,302996,0,88921,0
"the 1968 us presidential election","ky",462411,9,397541,0,193098,0
"the 1968 us presidential election","la",257535,0,309615,0,530300,10
"the 1968 us presidential election","me",169254,0,217312,4,6370,0
"the 1968 us presidential election","md",517995,0,538310,10,178734,0
"the 1968 us presidential election","ma",766844,0,1469218,14,87088,0
"the 1968 us presidential election","mi",1370665,0,1593082,21,331968,0
"the 1968 us presidential election","mn",658643,0,857738,10,68931,0
"the 1968 us presidential election","ms",88516,0,150644,0,415349,7
"the 1968 us presidential election","mo",811932,12,791444,0,206126,0
"the 1968 us presidential election","mt",138835,4,114117,0,20015,0
"the 1968 us presidential election","ne",321163,5,170784,0,44904,0
"the 1968 us presidential election","nv",73188,3,60598,0,20432,0
"the 1968 us presidential election","nh",154903,4,130589,0,11173,0
"the 1968 us presidential election","nj",1325467,17,1264206,0,262187,0
"the 1968 us presidential election","nm",169692,4,130081,0,25737,0
"the 1968 us presidential election","ny",3007932,0,3378470,43,358864,0
"the 1968 us presidential election","nc",627192,12,464113,0,496188,1
"the 1968 us presidential election","nd",138669,4,94769,0,14244,0
"the 1968 us presidential election","oh",1791014,26,1700586,0,467495,0
"the 1968 us presidential election","ok",449697,8,301658,0,191731,0
"the 1968 us presidential election","or",408433,6,358866,0,49683,0
